iter	Passed	Remaining
659	1200	618
660	1202	616
661	1204	615
662	1206	613
663	1208	611
664	1210	609
665	1211	607
666	1214	606
667	1215	604
668	1216	602
669	1218	599
670	1219	597
671	1220	595
672	1222	594
673	1223	592
674	1225	590
675	1228	588
676	1230	587
677	1232	585
678	1233	583
679	1234	580
680	1235	578
681	1237	576
682	1238	574
683	1239	572
684	1240	570
685	1242	568
686	1243	566
687	1245	564
688	1247	562
689	1248	560
690	1250	559
691	1253	557
692	1255	556
693	1257	554
694	1259	552
695	1261	550
696	1262	548
697	1264	546
698	1266	545
699	1267	543
700	1269	541
701	1270	539
702	1272	537
703	1273	535
704	1275	533
705	1277	531
706	1278	529
707	1280	528
708	1282	526
709	1283	524
710	1285	522
711	1287	520
712	1288	518
713	1290	516
714	1291	514
715	1293	512
716	1295	511
717	1296	509
718	1298	507
719	1299	505
720	1301	503
721	1302	501
722	1304	499
723	1305	497
724	1307	495
725	1308	493
726	1309	491
727	1311	489
728	1312	487
729	1313	485
730	1316	484
731	1318	482
732	1319	480
733	1321	478
734	1323	477
735	1325	475
736	1327	473
737	1329	471
738	1330	469
739	1332	468
740	1334	466
741	1335	464
742	1337	462
743	1339	460
744	1340	458
745	1342	456
746	1343	455
747	1345	453
748	1348	451
749	1349	449
750	1351	448
751	1353	446
752	1354	444
753	1355	442
754	1358	440
755	1359	438
756	1360	436
757	1361	434
758	1363	432
759	1364	430
760	1366	429
761	1367	427
762	1368	425
763	1370	423
764	1372	421
765	1374	419
766	1376	418
767	1377	416
768	1379	414
769	1380	412
770	1381	410
771	1383	408
772	1385	406
773	1387	405
774	1388	403
775	1389	401
776	1391	399
777	1394	397
778	1395	395
779	1396	393
780	1397	391
781	1399	390
782	1400	388
783	1402	386
784	1404	384
785	1407	383
786	1409	381
787	1411	379
788	1413	378
789	1416	376
790	1417	374
791	1419	372
792	1422	371
793	1423	369
794	1425	367
795	1426	365
796	1427	363
797	1428	361
798	1430	359
799	1431	357
800	1433	356
801	1435	354
802	1437	352
803	1439	350
804	1440	349
805	1442	347
806	1443	345
807	1444	343
808	1446	341
809	1447	339
810	1448	337
811	1450	335
812	1451	333
813	1452	331
814	1455	330
815	1456	328
816	1458	326
817	1459	324
818	1460	322
819	1461	320
820	1463	318
821	1465	317
822	1467	315
823	1468	313
824	1469	311
825	1471	309
826	1472	308
827	1474	306
828	1476	304
829	1477	302
830	1479	300
831	1480	298
832	1482	297
833	1483	295
834	1484	293
835	1486	291
836	1487	289
837	1488	287
838	1490	285
839	1491	284
840	1494	282
841	1496	280
842	1497	278
843	1498	277
844	1501	275
845	1502	273
846	1504	271
847	1505	269
848	1506	267
849	1507	266
850	1508	264
851	1510	262
852	1511	260
853	1512	258
854	1514	256
855	1515	254
856	1516	253
857	1518	251
858	1519	249
859	1520	247
860	1521	245
861	1522	243
862	1523	241
863	1525	240
864	1527	238
865	1529	236
866	1532	235
867	1534	233
868	1536	231
869	1538	229
870	1539	228
871	1541	226
872	1542	224
873	1544	222
874	1545	220
875	1546	218
876	1547	217
877	1548	215
878	1550	213
879	1551	211
880	1552	209
881	1553	207
882	1555	206
883	1556	204
884	1557	202
885	1559	200
886	1560	198
887	1561	196
888	1563	195
889	1564	193
890	1566	191
891	1567	189
892	1569	188
893	1571	186
894	1572	184
895	1573	182
896	1575	180
897	1576	179
898	1577	177
899	1578	175
900	1580	173
901	1582	171
902	1583	170
903	1584	168
904	1586	166
905	1587	164
906	1589	162
907	1590	161
908	1591	159
909	1592	157
910	1594	155
911	1595	153
912	1596	152
913	1597	150
914	1598	148
915	1600	146
916	1601	144
917	1603	143
918	1604	141
919	1605	139
920	1606	137
921	1607	136
922	1608	134
923	1609	132
924	1611	130
925	1612	128
926	1614	127
927	1616	125
928	1617	123
929	1618	121
930	1621	120
931	1623	118
932	1624	116
933	1625	114
934	1627	113
935	1629	111
936	1631	109
937	1632	107
938	1633	106
939	1634	104
940	1635	102
941	1637	100
942	1638	99
943	1639	97
944	1641	95
945	1643	93
946	1645	92
947	1647	90
948	1649	88
949	1650	86
950	1651	85
951	1653	83
952	1655	81
953	1656	79
954	1657	78
955	1659	76
956	1660	74
957	1661	72
958	1662	71
959	1664	69
960	1666	67
961	1667	65
962	1669	64
963	1670	62
964	1671	60
965	1673	58
966	1675	57
967	1676	55
968	1678	53
969	1679	51
970	1680	50
971	1681	48
972	1683	46
973	1685	44
974	1686	43
975	1687	41
976	1689	39
977	1690	38
978	1692	36
979	1693	34
980	1694	32
981	1695	31
982	1696	29
983	1697	27
984	1699	25
985	1701	24
986	1704	22
987	1706	20
988	1708	19
989	1709	17
990	1711	15
991	1713	13
992	1714	12
993	1716	10
994	1718	8
995	1719	6
996	1720	5
997	1721	3
998	1723	1
999	1724	0
